"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene.y","product"
"A1F92_RS00165",403.14897100936,-1.15586783257883,0.126135205161496,2.50124033957249e-20,8.40709741034179e-20,NA,"YycH family regulatory protein"
"A1F92_RS00170",432.054606584073,-0.625201945665123,0.112417373115835,2.18544687899666e-08,4.5761485662234e-08,NA,"two-component system regulatory protein YycI"
"A1F92_RS00175",337.152999558603,-1.38297344408708,0.148987478396642,7.12563334695081e-21,2.44815274303775e-20,NA,"MBL fold metallo-hydrolase"
"A1F92_RS00185",40.9890993055889,-1.82546286549176,0.370373062784084,2.70084706333189e-07,5.36877809446153e-07,"rlmH","23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH"
"A1F92_RS00190",38.702196120347,-2.98068809339603,0.476182229071924,1.07292842922535e-10,2.52852106628847e-10,NA,"TetR/AcrR family transcriptional regulator"
"A1F92_RS00195",53.5021083282605,-2.57510458685485,0.360992746214356,2.82467329550723e-13,7.42465016350884e-13,NA,"coniferyl aldehyde dehydrogenase"
"A1F92_RS00205",235.223875220496,0.708194587437932,0.139432009990994,2.87503686725246e-07,5.7077125250579e-07,NA,"uracil-DNA glycosylase family protein"
"A1F92_RS00210",17.5178521394731,-2.21517261544177,0.664741421577751,0.00020051883788362,0.000335533411771782,NA,"nitroreductase"
"A1F92_RS00220",176.012998768145,-4.69225657625464,0.356405403589218,9.81993145979431e-40,5.41494085300757e-39,NA,"FusB/FusC family EF-G-binding protein"
"A1F92_RS00225",49.6787216345023,-1.79908792926519,0.333240286310574,2.17797755669679e-08,4.56359191900158e-08,NA,"FAD-binding protein"
"A1F92_RS16145",115.744578806154,3.14516441558556,0.228849523788361,6.03662457056611e-44,3.56333324651131e-43,NA,"LysR family transcriptional regulator"
"A1F92_RS16150",136.340373810396,3.6276661187077,0.239949178866964,1.40797877796931e-52,9.63206673935297e-52,NA,"LysR substrate-binding domain-containing protein"
"A1F92_RS00240",209.983681227939,1.89834752530526,0.170739680424506,2.39412851503576e-29,1.01357981804588e-28,NA,"flavodoxin domain-containing protein"
"A1F92_RS00245",100.118383407203,3.05136764624529,0.220717609722143,2.40203728475605e-44,1.42603707767414e-43,"arsC","arsenate reductase (thioredoxin)"
"A1F92_RS00250",7.69104053605131,2.36864185970593,0.705930599071239,0.000115265363704461,0.000196591833858076,NA,"SDR family NAD(P)-dependent oxidoreductase"
"A1F92_RS00260",43.587226185461,1.02663342377303,0.269655124368643,7.44530865597873e-05,0.000128755644670079,NA,"nitroreductase family protein"
"A1F92_RS00265",71.7359731474676,2.92695174962154,0.264809767672609,2.54823356825934e-29,1.07441848000486e-28,NA,"CdaR family transcriptional regulator"
"A1F92_RS00275",662.11024125195,1.12351055293179,0.114740548123593,6.24017335665464e-23,2.25651076222552e-22,"pgmB","beta-phosphoglucomutase"
"A1F92_RS00280",109.293325755788,3.45851034293755,0.219338706780037,6.91713624495028e-57,5.07966948414713e-56,NA,"choloylglycine hydrolase family protein"
"A1F92_RS00290",33.9561961708822,0.955670562361959,0.301312610945663,0.000859359615258312,0.00138273906941096,NA,"tyrosine-protein phosphatase"
"A1F92_RS00295",69.7875435816515,-1.79764047922051,0.288925234017851,1.47182460569884e-10,3.45806251179734e-10,NA,"4-hydroxyphenylacetate 3-hydroxylase N-terminal domain-containing protein"
"A1F92_RS00300",20.1001295038299,-1.51113186713559,0.540400611465591,0.00172013019347455,0.0026854828562104,NA,"ASCH domain-containing protein"
"A1F92_RS00305",102.138723536352,-1.51526609439679,0.225078781231965,6.56298495087716e-12,1.62190513259715e-11,NA,"type 1 glutamine amidotransferase"
"A1F92_RS00310",101.402298033794,1.50145947277298,0.19342656389104,2.83271346790417e-15,8.12079466885757e-15,NA,"YafY family protein"
"A1F92_RS00320",121.855045758105,-0.857814792834196,0.18796543919332,3.44720694994749e-06,6.49021527210649e-06,NA,"translation factor GTPase family protein"
"A1F92_RS00330",26.0548164791314,-1.48892224503639,0.427339330548923,0.000184102832367569,0.000309400584331398,NA,"DUF3658 domain-containing protein"
"A1F92_RS00335",54.4957205135163,-1.41743374057107,0.291264434732507,4.6946708670354e-07,9.21392337995104e-07,NA,"DMT family transporter"
"A1F92_RS00340",89.3063196070885,0.764973827671284,0.202776594150468,0.00011292315090958,0.00019270310829779,NA,"GNAT family N-acetyltransferase"
"A1F92_RS00345",61.7565178987967,-1.22338304831758,0.270612561344294,2.98583497676109e-06,5.64213572742842e-06,NA,"type 1 glutamine amidotransferase domain-containing protein"
"A1F92_RS00350",38.8564308451524,-1.61451286127441,0.381290514700413,7.58959915312678e-06,1.39585565433471e-05,NA,"NADP-dependent oxidoreductase"
"A1F92_RS00355",149.942927042946,1.75309247772367,0.197801593725673,1.97791344634443e-19,6.50005702038323e-19,NA,"helix-turn-helix transcriptional regulator"
"A1F92_RS00360",88.2100499747088,-1.51278889868992,0.247632984588647,3.79253369757339e-10,8.76440114002977e-10,NA,"MATE family efflux transporter"
"A1F92_RS00380",68.828568603419,-1.82837049354192,0.29522057315858,1.83210174625453e-10,4.27858576612116e-10,"yaaA","peroxide stress protein YaaA"
"A1F92_RS00385",247.783765379955,0.979892995186792,0.141245935939034,2.34916710862801e-12,5.95263194573851e-12,NA,"pyridoxamine 5'-phosphate oxidase"
"A1F92_RS00410",1394.08118696613,1.5488033891915,0.106320843788,1.45059435130877e-48,9.36539978063725e-48,NA,"hypothetical protein"
"A1F92_RS00415",218.981198711791,-3.08759332355476,0.240640652445321,2.43500402335644e-38,1.29657688460165e-37,NA,"energy-coupling factor ABC transporter ATP-binding protein"
"A1F92_RS00420",31.700472524627,-2.94463078830222,0.514385110159662,3.22474850970277e-09,7.11787438145932e-09,NA,"energy-coupling factor transporter transmembrane component T"
"A1F92_RS00425",53.5703859594288,-2.98868652298446,0.401189869488299,2.78731766057817e-14,7.63739825829509e-14,"cbiM","cobalt transporter CbiM"
"A1F92_RS00430",50.6170054151195,-2.71749597385594,0.385121445582465,4.92893160213096e-13,1.28575412752558e-12,NA,"Crp/Fnr family transcriptional regulator"
"A1F92_RS00435",11.9253242901496,-1.64468519488191,0.695527199583222,0.00518467012370083,0.00774700709418943,"larA","nickel-dependent lactate racemase"
"A1F92_RS00465",153.282689660716,-1.61398894161015,0.187392178928159,2.41662011961759e-18,7.64194464356623e-18,NA,"zinc-binding dehydrogenase"
"A1F92_RS00470",99.6646129173741,2.55040480118242,0.201297672799534,1.36093264052332e-37,7.0527261755548e-37,"thiM","hydroxyethylthiazole kinase"
"A1F92_RS00475",183.987019582017,2.15494612057684,0.166236121549482,4.11771768892841e-39,2.23873809087529e-38,"thiD","bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase"
"A1F92_RS00480",117.202081368793,2.13370300569225,0.19786729077331,7.90679171996548e-28,3.22409836054908e-27,"thiE","thiamine phosphate synthase"
"A1F92_RS00485",232.466211325961,2.06316588310545,0.142173235335053,2.03507832326061e-48,1.30573658877528e-47,"cytX","putative hydroxymethylpyrimidine transporter CytX"
"A1F92_RS00490",202.59037507954,0.88948477651748,0.138419511311784,8.41652797420359e-11,1.99257602689511e-10,NA,"gamma-glutamyl-gamma-aminobutyrate hydrolase family protein"
"A1F92_RS00495",888.472593604433,2.74848655641347,0.0990624819746244,3.00053904341943e-170,7.68485164922052e-169,NA,"HIRAN domain-containing protein"
"A1F92_RS00500",240.378183444326,1.84877228656721,0.143488939821397,1.36480146598274e-38,7.30487002259153e-38,NA,"NUDIX hydrolase"
"A1F92_RS00505",546.838232639658,-4.06011217916909,0.189030702531636,9.81755429096081e-103,1.41509770919477e-101,NA,"amino acid permease"
"A1F92_RS00510",238.040317600397,1.40666812644178,0.164095175255815,3.64938992792325e-18,1.14700399458764e-17,NA,"hypothetical protein"
"A1F92_RS00515",403.874400544678,2.19600968739002,0.12076655356424,1.33451869404748e-74,1.26861148247028e-73,NA,"alpha/beta fold hydrolase"
"A1F92_RS00525",381.43835103686,2.62150009809959,0.118113336018056,5.48239462003819e-110,8.80307820077634e-109,NA,"nucleoside phosphorylase"
"A1F92_RS00530",3706.42864503803,2.5578790568124,0.0964328520899955,7.27365969008299e-156,1.68216950593785e-154,NA,"PspC domain-containing protein"
"A1F92_RS00545",4638.64331195971,5.57659415761223,0.168822096923757,2.50262674923077e-240,1.1240058399806e-238,NA,"Hsp20/alpha crystallin family protein"
"A1F92_RS16485",15.872672519656,2.50928920109692,0.494372119918476,5.80863202544054e-08,1.19607645493955e-07,NA,"DUF3021 domain-containing protein"
"A1F92_RS00565",21.882085302754,-3.09353209952748,0.648379895608834,6.03575755688308e-07,1.17788492876453e-06,NA,"helix-turn-helix transcriptional regulator"
"A1F92_RS00570",55.187444587117,-2.28036999595895,0.336702583248584,3.50988099918996e-12,8.82883215624163e-12,NA,"MFS transporter"
"A1F92_RS00580",1143.5293239165,3.12905116018722,0.140521669674443,9.22596199406713e-111,1.50480295892706e-109,NA,"aldo/keto reductase"
"A1F92_RS00585",659.431225929688,-0.874315530061797,0.10364113650889,2.16864274637033e-17,6.66728558631115e-17,NA,"nucleoside 2-deoxyribosyltransferase"
"A1F92_RS00590",2745.66350372047,2.05706355322509,0.0798348319030035,4.24918195031727e-147,8.66329925265344e-146,NA,"oleate hydratase"
"A1F92_RS00595",17.0668373879634,1.22786865934258,0.508816208086177,0.00608631353399378,0.00902895435224831,NA,"hypothetical protein"
"A1F92_RS00605",390.034978508705,3.03193947542928,0.136004308834284,5.58731383712313e-111,9.16142094245745e-110,NA,"NADH-dependent flavin oxidoreductase"
"A1F92_RS00610",87.9888490455513,-1.46990793416675,0.239835498552817,3.41093910323473e-10,7.90613334399734e-10,NA,"energy-coupling factor transporter transmembrane protein EcfT"
"A1F92_RS00615",225.352585687453,-1.61649930312446,0.169534909817977,4.62871384338405e-22,1.64123389023423e-21,NA,"ABC transporter ATP-binding protein"
"A1F92_RS00620",34.5209773109754,-0.888365245458379,0.334548969041322,0.0050370156097499,0.00753728217026312,NA,"ECF-type riboflavin transporter substrate-binding protein"
"A1F92_RS00630",155.741974371947,-2.45071243133661,0.23484073659743,4.18756308593899e-26,1.64061415971238e-25,NA,"GntR family transcriptional regulator"
"A1F92_RS00640",27.2622668670785,2.90374597023016,0.460396812266023,3.55482950058061e-11,8.52004379141477e-11,NA,"hypothetical protein"
"A1F92_RS00645",69.1304918380628,3.86746590263349,0.342672627355484,1.78265293580875e-30,7.75904697762826e-30,NA,"hypothetical protein"
"A1F92_RS00650",151.780424192734,-1.01475126597526,0.185426639344695,2.67775227316039e-08,5.59188294779248e-08,NA,"hypothetical protein"
"A1F92_RS00655",191.746393594382,0.841085743046014,0.16361927533912,1.86972254872422e-07,3.7479108528437e-07,NA,"SDR family NAD(P)-dependent oxidoreductase"
"A1F92_RS00665",108.674945521534,0.976429314063663,0.182186247238446,4.81891030775543e-08,9.95586869582273e-08,NA,"ABC transporter permease"
"A1F92_RS00675",671.069617577769,0.89921583862649,0.10300156064848,1.66725976885588e-18,5.2993210499327e-18,NA,"FAD-binding protein"
"A1F92_RS00680",50.1603322053332,-3.69427010169328,0.490133875024883,2.10453740513162e-14,5.81279983823786e-14,NA,"folate family ECF transporter S component"
"A1F92_RS00685",61.8021857598671,1.21022067370188,0.238303946679143,1.72626195773641e-07,3.47382195261373e-07,"dhaS","dihydroxyacetone kinase transcriptional activator DhaS"
"A1F92_RS00690",136.491139878493,1.14986658561148,0.189639557220861,6.45116498124251e-10,1.47652586978364e-09,"dhaQ","DhaKLM operon coactivator DhaQ"
"A1F92_RS00695",64.3195277566486,2.16635837949482,0.275589509618235,6.77713226346784e-16,1.98135215891385e-15,"dhaK","dihydroxyacetone kinase subunit DhaK"
"A1F92_RS00700",33.6632571291916,3.45852306522918,0.397352545536166,4.07039041189834e-19,1.32362433226369e-18,"dhaL","dihydroxyacetone kinase subunit DhaL"
"A1F92_RS00705",17.8140222213076,4.09734425979609,0.597180522364563,1.06040810094481e-12,2.71362898829726e-12,"dhaM","dihydroxyacetone kinase phosphoryl donor subunit DhaM"
"A1F92_RS00710",60.7560284690666,4.52947677863569,0.365347695692824,4.23542441971927e-36,2.11702907688871e-35,NA,"MIP/aquaporin family protein"
"A1F92_RS00720",107.893615071865,1.82994547078826,0.186457855625842,2.40839804833202e-23,8.80144522615674e-23,NA,"LacI family DNA-binding transcriptional regulator"
"A1F92_RS00725",287.005426173807,2.34287203463114,0.152205264047104,2.78803869092032e-54,1.97263285460321e-53,NA,"alpha-glucosidase"
"A1F92_RS00730",5839.1781584251,4.50472401213932,0.10620317709072,0,0,NA,"extracellular solute-binding protein"
"A1F92_RS00735",771.153963932599,7.21449275647254,0.249058485849449,4.12080717873569e-185,1.18244272656499e-183,NA,"carbohydrate ABC transporter permease"
"A1F92_RS00740",386.654123475409,6.5692019623404,0.277979627633229,4.3203755702696e-124,7.60729766605995e-123,NA,"sugar ABC transporter permease"
"A1F92_RS00745",269.847977906763,5.87523997697244,0.260054920646609,1.19623985188185e-113,2.01475396792493e-112,NA,"DUF1189 domain-containing protein"
"A1F92_RS00750",447.007598183347,5.24095786537946,0.200755673572759,3.80643270498497e-151,8.19176038385308e-150,NA,"alpha-amylase family glycosyl hydrolase"
"A1F92_RS00755",358.001944494095,5.16317992444209,0.1799395109691,7.10855402094468e-182,2.00267353735523e-180,NA,"ABC transporter ATP-binding protein"
"A1F92_RS00760",807.388481106963,4.52587264408999,0.14329674310414,6.13824634333487e-220,2.34844758246849e-218,NA,"glycoside hydrolase family 65 protein"
"A1F92_RS00765",45.2591381915693,-2.80218479935722,0.432324726776198,2.42690402262709e-11,5.86659560539888e-11,NA,"discoidin domain-containing protein"
"A1F92_RS00770",1157.15584171594,-1.69111303577659,0.0894302997105522,3.1745221139578e-80,3.30128994334067e-79,NA,"SemiSWEET family transporter"
"A1F92_RS00775",124.101835484044,0.943392717865863,0.175412519572651,4.55898351582447e-08,9.44404406118987e-08,NA,"fructokinase"
"A1F92_RS00790",33.9603367671285,-1.44308844040912,0.38483181940649,6.92323172218318e-05,0.000120062087896171,NA,"LacI family DNA-binding transcriptional regulator"
"A1F92_RS00795",109.628872977351,-1.1614963779938,0.206727046386323,9.98859345181491e-09,2.13480352463272e-08,NA,"alpha-glucosidase"
"A1F92_RS00800",98.3028331112207,-0.875652867691814,0.208602409480575,1.82009261225018e-05,3.28124898508627e-05,NA,"NADP-dependent oxidoreductase"
"A1F92_RS00805",75.484603703207,-2.15618532141147,0.293174824368365,5.02014249937966e-14,1.35517609804683e-13,"nhaC","Na+/H+ antiporter NhaC"
"A1F92_RS00810",108.256367861108,1.46480844558353,0.194217073305623,1.57816468413101e-14,4.3784533179248e-14,NA,"alpha-glucosidase"
"A1F92_RS16175",57.8966404665865,-1.77672511421128,0.308153556999803,2.69297807589704e-09,5.96536029821653e-09,NA,"LysR substrate-binding domain-containing protein"
"A1F92_RS16180",57.0159462605271,-1.18527244021072,0.358148626743837,0.000440982206651193,0.000724220380716506,NA,"LysR family transcriptional regulator"
"A1F92_RS16185",191.512242654544,2.93078546724695,0.262487613496331,5.64304964907557e-30,2.4187843516577e-29,NA,"hypothetical protein"
"A1F92_RS00830",29.5786728629374,-2.27532232003789,0.456738752772537,1.77540939705341e-07,3.56808931353342e-07,NA,"peptide ABC transporter substrate-binding protein"
"A1F92_RS00845",38.9848108567752,-1.36341173883717,0.369452708905759,9.02928205483971e-05,0.000155367823919757,NA,"phosphoglycerate dehydrogenase"
"A1F92_RS00850",27.461619835664,-1.49935525479777,0.417637695920515,0.000122846923228247,0.000209062391589421,"serC","3-phosphoserine/phosphohydroxythreonine transaminase"
"A1F92_RS00855",267.172759861348,3.28403569138472,0.151729327963515,8.37675230283588e-105,1.26017259157711e-103,NA,"histidine phosphatase family protein"
"A1F92_RS00860",1006.84920043329,2.31216410111464,0.0937806593818315,5.48268035716231e-135,1.01741475609856e-133,NA,"aldo/keto reductase"
"A1F92_RS00865",241.676023411646,-0.722818579496524,0.181467456308313,5.06829660957491e-05,8.85380563307364e-05,NA,"hypothetical protein"
"A1F92_RS00870",20.2110479207646,-1.57205634318399,0.478082205779615,0.000367927357914166,0.000607786184528785,NA,"iron chaperone"
"A1F92_RS00875",78.7749713351908,-2.12227658683261,0.317328901378732,6.00671209025342e-12,1.48799366648244e-11,NA,"NFACT RNA binding domain-containing protein"
"A1F92_RS00880",502.47788332,-2.41919197792857,0.149201914911803,7.92270710277803e-60,6.09242414677646e-59,NA,"acetate/propionate family kinase"
"A1F92_RS00885",277.706905463278,-2.31995484783825,0.205003416227503,1.94166457814969e-30,8.42747692953205e-30,NA,"hypothetical protein"
"A1F92_RS00890",72.7631650652054,-1.6376190387211,0.278842528300514,1.54688776028801e-09,3.46373205862179e-09,NA,"CrcB family protein"
"A1F92_RS00895",81.6175612043498,-2.34450348604928,0.295957175416033,6.02399685025862e-16,1.76616520709096e-15,NA,"CrcB family protein"
"A1F92_RS00900",136.736409718778,-1.33139271149628,0.208309440146541,6.83441556908559e-11,1.62422192090462e-10,NA,"ABC-F family ATP-binding cassette domain-containing protein"
"A1F92_RS00910",88.593601085282,-2.02406830197954,0.272379929605685,2.98176811103613e-14,8.15578056143068e-14,NA,"ABC transporter ATP-binding protein"
"A1F92_RS00915",36.9401121223793,-2.15622836896646,0.421103868583119,8.08057442161497e-08,1.65073830801482e-07,NA,"ECF transporter S component"
"A1F92_RS00920",480.830915622232,2.65348846731406,0.133485183960722,8.91482383064665e-89,1.03861049064564e-87,NA,"glutathione peroxidase"
"A1F92_RS00925",802.139455083274,2.89075403885793,0.114219216065588,3.67975518232794e-142,7.17205113838633e-141,NA,"aldo/keto reductase"
"A1F92_RS00950",180.798975872664,-2.29136416911042,0.219129675539337,2.89637012108147e-26,1.1390673864507e-25,NA,"C69 family dipeptidase"
"A1F92_RS00960",320.89764043256,1.82602956029252,0.166993854967761,1.88741534343406e-28,7.78841564487637e-28,NA,"BglG family transcription antiterminator"
"A1F92_RS00965",114.175474113164,2.02503811755318,0.213939476485543,5.7957261637157e-22,2.04799947335861e-21,NA,"PTS sugar transporter subunit IIA"
"A1F92_RS00970",511.808045776283,2.71412864866583,0.125412207299555,9.09657821567965e-105,1.36185004301407e-103,NA,"mannitol-1-phosphate 5-dehydrogenase"
"A1F92_RS00975",955.727722393392,1.85837821808908,0.0899289476743016,1.72121777858177e-95,2.18608766222332e-94,NA,"hypothetical protein"
"A1F92_RS16490",31.5561299651433,-2.36748901920019,0.510815313459197,8.03059292742306e-07,1.55834736894703e-06,NA,"hypothetical protein"
"A1F92_RS00995",41.0959267406134,3.17276368285428,0.334923835893007,3.77475169152252e-22,1.34150865734269e-21,NA,"hypothetical protein"
"A1F92_RS01000",189.645175866692,1.72092594170596,0.164220460121131,2.97071667012449e-26,1.16682521682076e-25,"ndk","nucleoside-diphosphate kinase"
"A1F92_RS01005",631.271021633235,1.57689561691867,0.104158688181416,2.80667087977431e-52,1.90742830184662e-51,NA,"DUF2252 domain-containing protein"
"A1F92_RS01010",2183.89847795219,5.12092943265428,0.128440795316937,0,0,NA,"NADPH-dependent FMN reductase"
"A1F92_RS01055",281.451659124453,-2.62639456981718,0.237741841249246,3.56201696256225e-29,1.48970183090154e-28,"epsC","serine O-acetyltransferase EpsC"
"A1F92_RS01060",438.050424824567,-2.84925870194619,0.216651062414773,2.64943994524588e-40,1.49283898005763e-39,NA,"PLP-dependent aspartate aminotransferase family protein"
"A1F92_RS01065",220.699554117681,-2.22504224615179,0.232167654183788,1.8555049581753e-22,6.64764146287313e-22,NA,"PLP-dependent cysteine synthase family protein"
"A1F92_RS01070",461.504553505249,-1.42739244842679,0.120494609157271,9.27340738265771e-33,4.32805564440606e-32,"map","type I methionyl aminopeptidase"
"A1F92_RS01080",140.109349404865,-2.20771434929103,0.223853369440318,1.45519488646359e-23,5.34318596344865e-23,"pnuC","nicotinamide riboside transporter PnuC"
"A1F92_RS01095",1106.4249492033,0.99224322283885,0.115559603138531,5.27573324661303e-18,1.64813481161832e-17,"treR","trehalose operon repressor"
"A1F92_RS01100",2360.68207268996,3.19769890771631,0.0880162150819066,6.70773992960806e-290,4.15745720837108e-288,"treC","alpha,alpha-phosphotrehalase"
"A1F92_RS01105",5857.41299127889,4.09146748980816,0.0770483113044105,0,0,NA,"glucose PTS transporter subunit IIA"
"A1F92_RS01110",875.156346477224,2.72714328554853,0.0869452482781404,8.1364282309164e-217,3.07497452287926e-215,NA,"PTS glucose transporter subunit IIABC"
"A1F92_RS01115",352.504254003647,4.03581940261136,0.152853426952229,9.61358013416925e-155,2.17463392961974e-153,NA,"hypothetical protein"
"A1F92_RS01120",108.787530093259,4.07716340250552,0.237194735433508,4.90689087830396e-67,4.17759748128131e-66,NA,"UbiX family flavin prenyltransferase"
"A1F92_RS01125",144.887142507476,4.01530741507272,0.203805479739697,3.16735931235521e-87,3.60869356948118e-86,"lpdD","gallate decarboxylase subunit LpdD"
"A1F92_RS01130",105.494829598069,2.34314980592994,0.203106504371127,1.55342459884545e-31,6.94669961301883e-31,NA,"Rrf2 family transcriptional regulator"
"A1F92_RS01135",53.7207679945055,-3.52757766846286,0.459036519635934,5.58683458579528e-15,1.57970806399449e-14,NA,"TetR/AcrR family transcriptional regulator"
"A1F92_RS01140",743.169681764693,-1.22603125549181,0.121212422948454,2.16962790441053e-24,8.16971673847901e-24,NA,"Nramp family divalent metal transporter"
"A1F92_RS01160",11.5798690044021,-2.53788324728954,0.805602157229549,0.000438752672613521,0.000720940897364423,NA,"MFS transporter"
"A1F92_RS01185",131.6902069799,0.902753906094294,0.20602509982274,7.53843714299892e-06,1.38891894804719e-05,NA,"MurR/RpiR family transcriptional regulator"
"A1F92_RS01190",7758.38717857481,4.93133325456245,0.114432197866767,0,0,"celB","PTS cellobiose transporter subunit IIC"
"A1F92_RS01210",1711.38652905571,5.30442819525086,0.140575657846897,0,0,NA,"FAD-binding oxidoreductase"
"A1F92_RS01215",497.966383996413,1.59318175731284,0.117644798962034,2.76285359143165e-42,1.59442891617256e-41,NA,"hypothetical protein"
"A1F92_RS01220",890.020015634936,1.79640749004278,0.132688817602364,2.41095816190292e-42,1.39655314836208e-41,NA,"GTP pyrophosphokinase family protein"
"A1F92_RS01230",987.109535415359,-0.987476798876738,0.099080656872987,1.23992425848321e-23,4.56899557317415e-23,NA,"MMPL family transporter"
"A1F92_RS01235",215.739839150529,1.41848312771024,0.14762426675876,2.71984625488146e-22,9.68827993549153e-22,NA,"DNA-3-methyladenine glycosylase I"
"A1F92_RS01245",20.8501095264249,1.14430647870641,0.429535869773111,0.0034624716575669,0.00526248144521816,NA,"ABC transporter permease"
"A1F92_RS01260",32.9994788100239,-1.68292812731671,0.412003639561782,1.42246591417776e-05,2.57941595555112e-05,NA,"CPBP family intramembrane glutamic endopeptidase"
"A1F92_RS01265",1527.3832314963,-2.47533936973069,0.188403903138572,3.18477307591722e-40,1.78473992084403e-39,NA,"LysM peptidoglycan-binding domain-containing protein"
"A1F92_RS01270",1276.19502954577,-2.87463536178348,0.246996305693023,3.45516918667147e-32,1.57464254551395e-31,NA,"LysM domain-containing protein"
"A1F92_RS01275",61.8036746137558,-1.81119756606546,0.320223933446608,4.92402914868883e-09,1.07613302762953e-08,NA,"glycine cleavage system protein H"
"A1F92_RS01280",72.0460800862612,-1.76244893046776,0.286403641900239,2.50209680370197e-10,5.81259219990435e-10,NA,"sce7725 family protein"
"A1F92_RS01285",55.9940335334373,-1.07181604393867,0.269827027005145,4.02263012232937e-05,7.06696754484054e-05,NA,"hypothetical protein"
"A1F92_RS01290",232.521694104278,-0.583459496275863,0.145766003832007,5.25135352852517e-05,9.16841948445042e-05,NA,"ATP-dependent DNA helicase"
"A1F92_RS01295",1143.60158546888,3.45447783378982,0.111576481859849,1.64931082498257e-211,6.08477886502498e-210,NA,"hypothetical protein"
"A1F92_RS01300",149.573566690602,-1.06105408287781,0.199218901156915,5.65409557491409e-08,1.16502940070869e-07,NA,"acetate/propionate family kinase"
"A1F92_RS01305",28.730976422604,-1.56484980824458,0.427711073548786,8.56769341473252e-05,0.000147589115576743,NA,"GNAT family N-acetyltransferase"
"A1F92_RS01315",3760.61791559718,1.9020925793528,0.0685127324972157,2.88956987403882e-170,7.46231419970526e-169,NA,"NAD(P)/FAD-dependent oxidoreductase"
"A1F92_RS01320",28.9725633927676,1.32403457473414,0.344900010556031,4.67214260375324e-05,8.18483319900016e-05,NA,"hypothetical protein"
"A1F92_RS01335",106.213138706626,0.710449998956247,0.194658731576986,0.000194511423771338,0.000325656889393504,NA,"protein-export chaperone SecB"
"A1F92_RS01340",247.14789187037,-0.753866867833602,0.139488600341927,4.79902540495915e-08,9.92140075381481e-08,NA,"ABC transporter substrate-binding protein"
"A1F92_RS01345",108.405649384228,-1.72747035118603,0.22962793702488,1.80097296181726e-14,4.98768115162797e-14,NA,"ABC transporter permease"
"A1F92_RS01350",108.923456523927,-2.02361498344277,0.253745173464464,4.137668939651e-16,1.22470258299699e-15,NA,"ABC transporter permease"
"A1F92_RS01355",138.173417976737,-2.03546467371537,0.218592296578089,3.6720634767012e-21,1.27147762170917e-20,NA,"ABC transporter ATP-binding protein"
"A1F92_RS01360",50.5000619807267,-1.72386172590701,0.327590198421806,4.84818494375531e-08,1.00096769758146e-07,NA,"helix-turn-helix domain-containing protein"
